Object	DM1	DM10	DM11	DM12	DM13	DM14	DM15	DM16	DM17	DM2	DM3	DM4	DM5	DM6	DM7	DM8	DM9	SN1	SN10	SN2	SN3	SN4	SN5	SN6	SN7	SN8	SN9							
IPI:IPI00550392	1923	471	761	918	395	669	211	324	240	433	233	162	243	609	408	553	672	863	343	522	509	835	264	507	454	371	467							
IPI:IPI00550932	1922	471	761	918	395	669	211	322	240	433	233	162	243	609	408	553	673	863	345	522	509	835	264	507	453	371	467							
IPI:IPI00472226	1923	471	761	918	395	669	211	322	240	433	233	162	243	609	408	553	672	863	343	522	509	835	264	507	453	371	467							
IPI:IPI00022431	678	440	384	598	285	514	529	571	489	562	344	443	525	512	336	391	503	678	720	568	505	654	640	653	615	825	394							
IPI:IPI00550663	1922	471	761	918	395	669	211	322	240	433	233	162	243	609	408	553	672	863	343	522	509	835	264	507	453	371	467							
IPI:IPI00555812	508	353	379	442	183	486	432	385	418	401	258	414	477	354	291	348	339	733	662	805	446	524	1067	715	699	799	703							
IPI:IPI00556633	394	450	439	544	332	536	540	510	484	528	379	581	513	899	340	530	552	498	510	532	628	541	488	265	484	393	632							
IPI:IPI00473015	1807	457	742	894	382	638	207	319	215	413	228	155	234	586	399	540	645	779	306	485	473	726	246	454	408	341	399							
IPI:IPI00441196	548	260	407	548	357	375	554	334	806	231	210	211	213	366	144	385	246	479	770	377	702	435	335	899	956	836	745							
IPI:IPI00022432	382	252	180	430	126	371	293	280	678	497	387	362	497	292	153	310	267	663	681	523	689	604	448	419	653	781	576							
IPI:IPI00552195	451	273	324	462	317	433	388	463	378	486	445	241	214	250	227	432	324	503	733	440	565	538	480	522	702	725	452							
IPI:IPI00479708	522	134	125	816	317	403	211	222	172	775	717	642	401	529	422	553	231	314	290	754	803	626	94	321	259	234	308							
IPI:IPI00061977	1592	393	479	739	310	539	171	261	163	380	162	127	197	483	327	438	553	694	232	408	374	651	177	355	337	283	351							
IPI:IPI00479169	526	133	125	853	315	405	212	222	161	774	717	640	400	530	424	557	232	305	252	752	801	610	92	317	248	210	306							
IPI:IPI00549273	523	130	121	851	313	399	210	220	160	772	716	638	398	526	423	553	229	302	254	753	798	609	92	313	246	209	304							
IPI:IPI00549291	523	130	121	851	313	399	210	220	160	772	716	638	398	526	423	553	229	301	252	751	797	608	93	313	246	208	304							
IPI:IPI00549422	518	130	124	810	312	399	211	220	163	772	717	640	398	526	419	551	229	303	250	742	794	614	92	314	249	211	303							
IPI:IPI00385264	464	122	97	592	309	389	203	217	149	746	696	596	366	495	400	522	214	298	241	680	728	571	82	286	207	165	276							
IPI:IPI00292530	251	445	224	574	336	565	253	251	259	685	327	288	550	473	266	433	364	447	85	540	787	475	164	150	272	223	406							
